"bom_id","parent_item_number","component_item_number","quantity","quantity_unit","sequence_number","supply_type","sourcing_type","supplier_code","supplier_part_number","lead_time_days","effective_date","expiration_date","is_active","is_optional","is_phantom","scrap_factor","yield_factor","setup_time_minutes","cycle_time_minutes","labor_hours","tooling_required","special_instructions","quality_requirements","test_requirements","packaging_requirements","created_by","created_date","last_modified_by","last_modified_date","revision","approval_status","notes"
"BOM-023","ITEM-057","ITEM-148","1.16","L","8","BUY","DUAL_SOURCE","SUP001","SUP-PART-000396","17","2025-05-23","2025-09-11","true","false","false","0.042","0.998","115","54","2.6","YES","Instructions for ITEM-148","Quality requirements for ITEM-148","Test requirements for ITEM-148","Packaging requirements for ITEM-148","USER010","2025-05-06","USER006","2025-05-15","R3","PENDING","Notes for BOM BOM-023"
"BOM-029","ITEM-065","ITEM-195","10.99","EA","1","BUY","DUAL_SOURCE","SUP004","SUP-PART-000354","13","2025-06-28","2025-09-24","false","true","false","0.038","0.963","15","8","4.3","SPECIAL","Instructions for ITEM-195","Quality requirements for ITEM-195","Test requirements for ITEM-195","Packaging requirements for ITEM-195","USER008","2025-06-10","USER009","2025-06-13","R1","DRAFT","Notes for BOM BOM-029"
"BOM-010","ITEM-001","ITEM-342","90.28","M","40","MAKE_OR_BUY","DUAL_SOURCE","SUP002","SUP-PART-000361","37","2025-08-16","2026-07-21","false","true","false","0.052","0.961","38","37","3.0","YES","Instructions for ITEM-342","Quality requirements for ITEM-342","Test requirements for ITEM-342","Packaging requirements for ITEM-342","USER006","2025-08-10","USER001","2025-08-16","R1","PENDING","Notes for BOM BOM-010"
"BOM-011","ITEM-080","ITEM-366","58.74","L","94","BUY","EXTERNAL","SUP003","SUP-PART-000026","60","2025-08-02","2025-11-18","false","true","true","0.003","0.958","64","56","0.5","SPECIAL","Instructions for ITEM-366","Quality requirements for ITEM-366","Test requirements for ITEM-366","Packaging requirements for ITEM-366","USER006","2025-07-19","USER009","2025-07-27","R2","DRAFT","Notes for BOM BOM-011"
"BOM-009","ITEM-003","ITEM-251","24.48","M","50","MAKE","INTERNAL","SUP003","SUP-PART-000928","36","2025-09-02","2025-10-30","true","true","false","0.015","0.999","27","7","7.9","YES","Instructions for ITEM-251","Quality requirements for ITEM-251","Test requirements for ITEM-251","Packaging requirements for ITEM-251","USER009","2025-08-12","USER010","2025-08-16","R5","PENDING","Notes for BOM BOM-009"
"BOM-014","ITEM-030","ITEM-500","72.18","EA","84","BUY","DUAL_SOURCE","SUP002","SUP-PART-000611","60","2025-09-20","2026-07-15","false","true","false","0.027","0.991","116","22","3.2","NO","Instructions for ITEM-500","Quality requirements for ITEM-500","Test requirements for ITEM-500","Packaging requirements for ITEM-500","USER001","2025-08-24","USER008","2025-08-31","R3","DRAFT","Notes for BOM BOM-014"
"BOM-003","ITEM-095","ITEM-283","72.07","M","34","BUY","DUAL_SOURCE","SUP004","SUP-PART-000117","8","2025-05-05","2025-11-21","true","false","true","0.02","0.998","48","20","1.9","NO","Instructions for ITEM-283","Quality requirements for ITEM-283","Test requirements for ITEM-283","Packaging requirements for ITEM-283","USER009","2025-04-22","USER006","2025-04-23","R2","REJECTED","Notes for BOM BOM-003"
"BOM-002","ITEM-014","ITEM-480","53.69","L","19","MAKE","DUAL_SOURCE","SUP003","SUP-PART-000187","36","2025-09-23","2025-10-27","false","false","true","0.091","0.958","101","47","5.0","NO","Instructions for ITEM-480","Quality requirements for ITEM-480","Test requirements for ITEM-480","Packaging requirements for ITEM-480","USER007","2025-08-26","USER004","2025-09-04","R2","DRAFT","Notes for BOM BOM-002"
"BOM-036","ITEM-072","ITEM-498","71.61","M","85","BUY","DUAL_SOURCE","SUP003","SUP-PART-000324","16","2025-07-25","2026-03-08","true","false","false","0.053","0.956","5","23","7.9","SPECIAL","Instructions for ITEM-498","Quality requirements for ITEM-498","Test requirements for ITEM-498","Packaging requirements for ITEM-498","USER008","2025-07-10","USER004","2025-07-17","R5","APPROVED","Notes for BOM BOM-036"
"BOM-014","ITEM-001","ITEM-195","47.69","M","62","MAKE_OR_BUY","EXTERNAL","SUP002","SUP-PART-000667","16","2025-08-28","2026-05-09","false","false","true","0.054","0.981","62","11","0.7","SPECIAL","Instructions for ITEM-195","Quality requirements for ITEM-195","Test requirements for ITEM-195","Packaging requirements for ITEM-195","USER002","2025-08-13","USER009","2025-08-18","R3","PENDING","Notes for BOM BOM-014"
