"item_number","item_description","item_type","category","uom","weight","dimensions","color","material","manufacturer","manufacturer_part_number","supplier_code","supplier_part_number","lead_time_days","minimum_order_quantity","unit_cost","currency","country_of_origin","compliance_status","is_serialized","is_npi","is_obsolete","status","created_date","last_modified_date","revision","notes"
"ITEM-001","COMPONENT ELECTRONICS Component 1","COMPONENT","ELECTRONICS","M","7.5","48x52x10cm","Black","Titanium","Samsung","PART-000001","SUP003","SUP-PART-000001","37","79","509.03","USD","Taiwan","UN38.3","false","true","false","NPI","2025-07-16","2025-07-29","R4","Notes for ITEM-001"
"ITEM-002","RAW_MATERIAL WHEELS Component 2","RAW_MATERIAL","WHEELS","SET","32.5","190x37x17cm","Silver","Titanium","Samsung","PART-000002","SUP010","SUP-PART-000002","57","15","4654.56","USD","USA","FCC","true","false","true","OBSOLETE","2025-02-12","2025-03-14","R5","Notes for ITEM-002"
"ITEM-003","ASSEMBLY ELECTRONICS Component 3","ASSEMBLY","ELECTRONICS","SET","25.9","94x28x26cm","White","Titanium","Trek Bikes","PART-000003","SUP010","SUP-PART-000003","55","87","3338.17","USD","Taiwan","UN38.3","false","false","true","ACTIVE","2025-08-25","2025-09-03","R3","Notes for ITEM-003"
"ITEM-004","COMPONENT ELECTRONICS Component 4","COMPONENT","ELECTRONICS","M","26.0","166x32x21cm","Red","Titanium","LG","PART-000004","SUP006","SUP-PART-000004","16","36","745.39","USD","USA","UN38.3","true","true","false","NPI","2025-03-21","2025-03-23","R3","Notes for ITEM-004"
"ITEM-005","RAW_MATERIAL BATTERIES Component 5","RAW_MATERIAL","BATTERIES","SET","37.8","33x67x14cm","Blue","Aluminum","Xiaomi","PART-000005","SUP006","SUP-PART-000005","75","55","3753.31","USD","China","UN38.3","true","true","true","ACTIVE","2025-03-28","2025-04-19","R3","Notes for ITEM-005"
"ITEM-006","COMPONENT WHEELS Component 6","COMPONENT","WHEELS","L","36.8","124x72x49cm","Silver","Titanium","Panasonic","PART-000006","SUP002","SUP-PART-000006","14","45","4273.85","USD","Taiwan","CE","true","false","false","ACTIVE","2025-09-02","2025-09-20","R1","Notes for ITEM-006"
"ITEM-007","ASSEMBLY BICYCLES Component 7","ASSEMBLY","BICYCLES","KG","10.3","68x26x15cm","White","Titanium","Samsung","PART-000007","SUP008","SUP-PART-000007","90","6","1916.62","USD","Taiwan","FCC","false","true","false","OBSOLETE","2024-12-18","2025-01-17","R4","Notes for ITEM-007"
"ITEM-008","COMPONENT SCOOTERS Component 8","COMPONENT","SCOOTERS","M","16.4","200x62x5cm","Silver","Aluminum","LG","PART-000008","SUP003","SUP-PART-000008","46","46","1190.29","USD","Germany","REACH","true","true","true","NPI","2025-03-18","2025-03-28","R3","Notes for ITEM-008"
"ITEM-009","ASSEMBLY BATTERIES Component 9","ASSEMBLY","BATTERIES","EA","34.0","167x40x22cm","Blue","Carbon Fiber","Trek Bikes","PART-000009","SUP007","SUP-PART-000009","73","61","3117.84","USD","USA","CE","true","false","false","OBSOLETE","2025-09-05","2025-09-11","R4","Notes for ITEM-009"
"ITEM-010","COMPONENT ELECTRONICS Component 10","COMPONENT","ELECTRONICS","EA","47.5","52x82x19cm","White","Titanium","Xiaomi","PART-000010","SUP004","SUP-PART-000010","69","39","377.8","USD","Taiwan","FCC","false","true","false","ACTIVE","2025-07-19","2025-08-02","R1","Notes for ITEM-010"
"ITEM-011","RAW_MATERIAL BATTERIES Component 11","RAW_MATERIAL","BATTERIES","SET","41.2","169x98x17cm","Silver","Carbon Fiber","Xiaomi","PART-000011","SUP008","SUP-PART-000011","19","2","3517.55","USD","Germany","FCC","true","false","false","ACTIVE","2025-04-18","2025-04-22","R1","Notes for ITEM-011"
"ITEM-012","TOOL BATTERIES Component 12","TOOL","BATTERIES","KG","47.8","156x35x8cm","Black","Plastic","Trek Bikes","PART-000012","SUP010","SUP-PART-000012","36","87","4729.22","USD","Taiwan","UN38.3","true","false","true","NPI","2025-08-12","2025-09-02","R1","Notes for ITEM-012"
"ITEM-013","ASSEMBLY BATTERIES Component 13","ASSEMBLY","BATTERIES","KG","35.4","29x76x11cm","Matte Black","Carbon Fiber","Trek Bikes","PART-000013","SUP010","SUP-PART-000013","2","100","1367.78","USD","China","ROHS","true","true","true","INACTIVE","2025-04-18","2025-05-11","R4","Notes for ITEM-013"
"ITEM-014","TOOL BATTERIES Component 14","TOOL","BATTERIES","SET","40.2","198x23x35cm","Matte Black","Titanium","Xiaomi","PART-000014","SUP007","SUP-PART-000014","37","82","813.49","USD","Japan","REACH","true","true","true","OBSOLETE","2025-07-31","2025-08-15","R4","Notes for ITEM-014"
"ITEM-015","Product 15","FINISHED_GOOD","FRAMES","EA","34.4","119x69x36cm","Blue","Plastic","LG","PART-000015","SUP009","SUP-PART-000015","44","68","3307.69","USD","Japan","REACH","true","false","false","ACTIVE","2024-12-31","2025-01-09","R2","Notes for ITEM-015"
"ITEM-016","ASSEMBLY ELECTRONICS Component 16","ASSEMBLY","ELECTRONICS","KG","38.0","137x20x43cm","Red","Steel","LG","PART-000016","SUP001","SUP-PART-000016","55","88","120.41","USD","Japan","REACH","true","true","false","ACTIVE","2025-09-05","2025-09-06","R2","Notes for ITEM-016"
"ITEM-017","ASSEMBLY FRAMES Component 17","ASSEMBLY","FRAMES","KG","23.1","55x48x44cm","Black","Aluminum","Xiaomi","PART-000017","SUP010","SUP-PART-000017","51","94","3059.49","USD","Germany","UN38.3","false","false","true","ACTIVE","2025-08-18","2025-08-25","R4","Notes for ITEM-017"
"ITEM-018","TOOL FRAMES Component 18","TOOL","FRAMES","M","10.0","45x88x41cm","Red","Aluminum","Trek Bikes","PART-000018","SUP004","SUP-PART-000018","9","39","2014.82","USD","Japan","FCC","false","false","true","INACTIVE","2025-09-16","2025-09-21","R5","Notes for ITEM-018"
"ITEM-019","ASSEMBLY SCOOTERS Component 19","ASSEMBLY","SCOOTERS","L","9.9","116x87x25cm","Matte Black","Steel","Panasonic","PART-000019","SUP001","SUP-PART-000019","60","86","1218.4","USD","Germany","UN38.3","true","false","false","INACTIVE","2024-11-14","2024-12-11","R1","Notes for ITEM-019"
"ITEM-020","TOOL BICYCLES Component 20","TOOL","BICYCLES","L","31.4","60x40x14cm","Silver","Aluminum","Xiaomi","PART-000020","SUP005","SUP-PART-000020","33","66","70.74","USD","Taiwan","UN38.3","true","true","false","INACTIVE","2025-05-10","2025-05-11","R3","Notes for ITEM-020"
"ITEM-021","COMPONENT ELECTRONICS Component 21","COMPONENT","ELECTRONICS","EA","8.9","153x86x34cm","Matte Black","Plastic","Xiaomi","PART-000021","SUP007","SUP-PART-000021","12","83","2690.01","USD","Japan","FCC","false","true","false","OBSOLETE","2024-12-26","2025-01-14","R4","Notes for ITEM-021"
"ITEM-022","RAW_MATERIAL BICYCLES Component 22","RAW_MATERIAL","BICYCLES","EA","1.3","48x85x8cm","White","Titanium","Xiaomi","PART-000022","SUP001","SUP-PART-000022","54","47","409.01","USD","China","CE","true","false","true","ACTIVE","2024-12-07","2024-12-16","R3","Notes for ITEM-022"
"ITEM-023","TOOL BICYCLES Component 23","TOOL","BICYCLES","L","45.5","87x97x36cm","Red","Plastic","LG","PART-000023","SUP009","SUP-PART-000023","6","83","3298.17","USD","Taiwan","CE","false","false","false","INACTIVE","2024-11-10","2024-11-25","R2","Notes for ITEM-023"
"ITEM-024","ASSEMBLY ELECTRONICS Component 24","ASSEMBLY","ELECTRONICS","L","27.1","144x87x50cm","Blue","Titanium","Xiaomi","PART-000024","SUP006","SUP-PART-000024","29","84","401.73","USD","Japan","CE","false","false","false","INACTIVE","2024-12-24","2025-01-15","R5","Notes for ITEM-024"
"ITEM-025","Smart City Scooter 25","FINISHED_GOOD","SCOOTERS","SET","39.6","141x77x6cm","Black","Aluminum","LG","PART-000025","SUP010","SUP-PART-000025","89","27","2300.35","USD","Germany","CE","true","true","false","INACTIVE","2025-07-20","2025-07-21","R5","Notes for ITEM-025"
"ITEM-026","TOOL SCOOTERS Component 26","TOOL","SCOOTERS","KG","14.3","141x96x39cm","Blue","Titanium","Samsung","PART-000026","SUP004","SUP-PART-000026","45","95","3595.02","USD","Taiwan","FCC","true","true","false","ACTIVE","2025-03-25","2025-04-11","R5","Notes for ITEM-026"
"ITEM-027","COMPONENT BATTERIES Component 27","COMPONENT","BATTERIES","EA","16.2","161x100x48cm","Red","Carbon Fiber","Samsung","PART-000027","SUP002","SUP-PART-000027","83","38","526.17","USD","Germany","ROHS","true","false","true","OBSOLETE","2024-12-28","2024-12-29","R4","Notes for ITEM-027"
"ITEM-028","Product 28","FINISHED_GOOD","FRAMES","EA","23.3","154x74x39cm","Black","Carbon Fiber","Samsung","PART-000028","SUP009","SUP-PART-000028","31","55","1281.07","USD","Germany","ROHS","false","true","true","OBSOLETE","2024-12-27","2025-01-23","R2","Notes for ITEM-028"
"ITEM-029","RAW_MATERIAL BATTERIES Component 29","RAW_MATERIAL","BATTERIES","KG","35.4","83x10x49cm","White","Titanium","Xiaomi","PART-000029","SUP002","SUP-PART-000029","26","32","1395.09","USD","China","UN38.3","false","true","false","NPI","2025-05-22","2025-05-25","R2","Notes for ITEM-029"
"ITEM-030","Product 30","FINISHED_GOOD","WHEELS","KG","42.1","115x64x16cm","Blue","Plastic","Xiaomi","PART-000030","SUP004","SUP-PART-000030","25","95","4125.56","USD","China","FCC","true","true","false","INACTIVE","2024-11-28","2024-12-27","R5","Notes for ITEM-030"
"ITEM-031","COMPONENT SCOOTERS Component 31","COMPONENT","SCOOTERS","EA","25.3","177x33x20cm","Red","Aluminum","LG","PART-000031","SUP003","SUP-PART-000031","53","64","1550.54","USD","Germany","FCC","true","false","false","OBSOLETE","2025-07-08","2025-07-18","R3","Notes for ITEM-031"
"ITEM-032","TOOL BATTERIES Component 32","TOOL","BATTERIES","SET","33.0","93x91x7cm","Black","Titanium","LG","PART-000032","SUP005","SUP-PART-000032","43","2","4097.41","USD","Germany","CE","false","false","true","NPI","2024-12-16","2025-01-12","R5","Notes for ITEM-032"
"ITEM-033","COMPONENT FRAMES Component 33","COMPONENT","FRAMES","M","11.5","134x53x14cm","Matte Black","Steel","Xiaomi","PART-000033","SUP010","SUP-PART-000033","32","51","1267.72","USD","Taiwan","CE","true","true","true","INACTIVE","2025-06-23","2025-07-01","R1","Notes for ITEM-033"
"ITEM-034","ASSEMBLY SCOOTERS Component 34","ASSEMBLY","SCOOTERS","L","31.9","118x87x42cm","Blue","Titanium","Trek Bikes","PART-000034","SUP006","SUP-PART-000034","12","55","3754.41","USD","USA","FCC","true","true","false","OBSOLETE","2025-06-04","2025-06-05","R2","Notes for ITEM-034"
"ITEM-035","TOOL BICYCLES Component 35","TOOL","BICYCLES","KG","1.7","128x21x6cm","Blue","Steel","Samsung","PART-000035","SUP006","SUP-PART-000035","69","87","4624.26","USD","USA","CE","false","false","false","ACTIVE","2025-08-01","2025-08-06","R5","Notes for ITEM-035"
"ITEM-036","TOOL SCOOTERS Component 36","TOOL","SCOOTERS","EA","9.0","111x15x17cm","Matte Black","Plastic","Panasonic","PART-000036","SUP002","SUP-PART-000036","2","69","1483.28","USD","Japan","CE","false","false","true","INACTIVE","2024-11-16","2024-11-26","R2","Notes for ITEM-036"
"ITEM-037","RAW_MATERIAL BICYCLES Component 37","RAW_MATERIAL","BICYCLES","EA","42.1","132x12x20cm","Blue","Plastic","Trek Bikes","PART-000037","SUP004","SUP-PART-000037","70","41","1595.14","USD","Japan","UN38.3","true","true","false","INACTIVE","2025-07-02","2025-07-17","R1","Notes for ITEM-037"
"ITEM-038","TOOL BATTERIES Component 38","TOOL","BATTERIES","KG","33.3","52x44x16cm","Silver","Carbon Fiber","Panasonic","PART-000038","SUP002","SUP-PART-000038","60","12","819.47","USD","Japan","CE","false","true","false","NPI","2024-11-25","2024-12-21","R4","Notes for ITEM-038"
"ITEM-039","COMPONENT ELECTRONICS Component 39","COMPONENT","ELECTRONICS","L","28.5","58x99x5cm","Black","Steel","Samsung","PART-000039","SUP007","SUP-PART-000039","57","91","3887.21","USD","Germany","UN38.3","false","true","true","ACTIVE","2025-01-13","2025-01-24","R2","Notes for ITEM-039"
"ITEM-040","RAW_MATERIAL WHEELS Component 40","RAW_MATERIAL","WHEELS","EA","42.1","112x44x50cm","Silver","Plastic","Panasonic","PART-000040","SUP004","SUP-PART-000040","77","71","2762.53","USD","USA","REACH","false","true","true","ACTIVE","2025-08-10","2025-09-07","R2","Notes for ITEM-040"
"ITEM-041","COMPONENT WHEELS Component 41","COMPONENT","WHEELS","L","46.6","44x26x17cm","Black","Plastic","Trek Bikes","PART-000041","SUP010","SUP-PART-000041","42","73","762.63","USD","China","REACH","true","false","false","ACTIVE","2025-03-26","2025-04-25","R1","Notes for ITEM-041"
"ITEM-042","TOOL SCOOTERS Component 42","TOOL","SCOOTERS","EA","19.0","74x11x33cm","Matte Black","Steel","Samsung","PART-000042","SUP001","SUP-PART-000042","48","100","1221.33","USD","USA","REACH","false","true","false","INACTIVE","2025-02-11","2025-02-14","R4","Notes for ITEM-042"
"ITEM-043","ASSEMBLY SCOOTERS Component 43","ASSEMBLY","SCOOTERS","M","21.1","95x46x29cm","Red","Carbon Fiber","Samsung","PART-000043","SUP004","SUP-PART-000043","11","8","2991.91","USD","USA","REACH","true","true","true","INACTIVE","2025-06-26","2025-07-18","R5","Notes for ITEM-043"
"ITEM-044","RAW_MATERIAL BATTERIES Component 44","RAW_MATERIAL","BATTERIES","L","30.0","196x30x44cm","Black","Steel","Samsung","PART-000044","SUP007","SUP-PART-000044","45","68","3281.59","USD","USA","FCC","false","true","false","INACTIVE","2024-11-18","2024-11-20","R2","Notes for ITEM-044"
"ITEM-045","RAW_MATERIAL WHEELS Component 45","RAW_MATERIAL","WHEELS","SET","47.9","50x16x36cm","White","Aluminum","Trek Bikes","PART-000045","SUP009","SUP-PART-000045","74","93","22.94","USD","USA","REACH","false","true","false","NPI","2024-11-13","2024-11-27","R5","Notes for ITEM-045"
"ITEM-046","Product 46","FINISHED_GOOD","WHEELS","EA","9.5","58x90x39cm","Silver","Aluminum","Samsung","PART-000046","SUP008","SUP-PART-000046","50","38","4902.62","USD","Germany","ROHS","false","true","true","OBSOLETE","2025-03-12","2025-03-31","R4","Notes for ITEM-046"
"ITEM-047","COMPONENT WHEELS Component 47","COMPONENT","WHEELS","M","46.5","106x52x40cm","Matte Black","Aluminum","Trek Bikes","PART-000047","SUP001","SUP-PART-000047","67","38","4564.77","USD","USA","REACH","true","true","false","NPI","2025-05-07","2025-05-08","R4","Notes for ITEM-047"
"ITEM-048","ASSEMBLY BICYCLES Component 48","ASSEMBLY","BICYCLES","EA","28.3","75x58x20cm","Blue","Carbon Fiber","Samsung","PART-000048","SUP005","SUP-PART-000048","86","81","4735.86","USD","China","UN38.3","false","true","true","ACTIVE","2025-04-19","2025-05-10","R5","Notes for ITEM-048"
"ITEM-049","Product 49","FINISHED_GOOD","WHEELS","KG","18.8","179x47x22cm","Matte Black","Carbon Fiber","LG","PART-000049","SUP010","SUP-PART-000049","87","5","3293.08","USD","Taiwan","ROHS","true","false","true","ACTIVE","2025-07-22","2025-08-16","R2","Notes for ITEM-049"
"ITEM-050","RAW_MATERIAL WHEELS Component 50","RAW_MATERIAL","WHEELS","L","2.5","94x16x6cm","White","Plastic","Samsung","PART-000050","SUP007","SUP-PART-000050","69","90","2496.08","USD","China","CE","false","false","false","NPI","2025-04-27","2025-05-10","R4","Notes for ITEM-050"
